Sigla;Nome;Estrato;Indice.H;ISSN
INLG;International Natural Language Generation Conference;B2;21;
INOC;International Network Optimization Conference;B3;10;
InSITE;Informing Science and IT Education Conference;B4;6;
INTED;International Technology, Education and Development Conference;B4;4;
INTERACT;IFIP TC13 International Conference on Human'Computer Interaction;B1;30;
Interspeech;International Conference on Spoken Language Processing;A1;80;
IOLTS;IEEE International On'Line Testing Symposium;B1;25;
IPAW;International Provenance and Annotation Workshop;B2;20;
IPCCC;IEEE International Performance Computing and Communications Conference;B1;24;
IPCO;Conference on Integer Programming and Combinatorial Optimization;B1;26;
IPCV;International Conference on Image Processing Computer Vision and Pattern Recognition;B4;10;
IPDPS;IEEE International Parallel and Distributed Processing Symposium;A1;73;
IPDS;International Computer Performance and Dependability Symposium;B4;7;
IPEC;International Symposium on Parameterized and Exact Computation;B2;20;
IPMU;International Conference on Information Processing and Management of Uncertainty in Knowledge'Based Systems;B2;16;
IPOM;IEEE International Workshop on IP Operations and Management;B3;9;
IPPS;International Parallel Processing Symposium;A1;71;
IPSN;International Symposium on Information Processing in Sensor Networks;A1;88;
IPT;Workshop on Immersive Projection Technology;B3;9;
IPTPS;International Workshop on Peer'to'Peer Systems;A1;63;
IQIS;Information Quality in Information Systems;B3;15;
IR;Research and Development in Information Retrieval;B5;2;
IRI;IEEE International Conference on Information Reuse and Integration;B2;21;
IRMA;Information Resources Management Association International Conference;B4;6;
IROS;IEEE/RJS International Conference on Intelligent Robots and Systems;A1;58;
IS;IADIS International Conference Information Systems;B4;4;
ISAAC;International Symposium on Algorithms and Computation;B1;27;
ISADS;International Symposium on Autonomous Decentralized Systems;B1;25;
ISAM;IEEE International Symposium on Assembly and Manufacturing;B3;11;
ISBI;IEEE International Symposium on Biomedical Imaging: From Nano to Macro;B1;34;
ISBRA;International Symposium on Bioinformatics Research and Applications;B3;11;
ISC;Information Security Conference;A2;37;
ISCA;ACM International Symposium on Computer Architecture;A1;110;
ISCAS;IEEE International Symposium on Circuits and Systems;A1;159;
ISCC;IEEE Symposium on Computers and Communications;A2;43;
ISCIS;International Symposium on Computer and Information Sciences;B2;18;
ISCO;International Symposium on Combinatorial Optimization;B5;3;
ISCRAM;Intelligent Human Computer Systems for Crisis Response and Management;B4;9;
ISC_A;International Supercomputing Conference;B5;2;
ISD;International Conference on Information Systems Development;B4;3;
ISDA;International Conference on Intelligent Systems Design and Applications;B2;16;
ISDPE;International Symposium on Data, Privacy and E'commerce;B4;7;
ISECON;Information Systems Education Conference;B4;6;
ISECS;International Symposium Electronic Commerce and Security;B4;10;
ISER;International Symposium on Experimental Robotics;B3;7;
ISI;IEEE Intelligence and Security Informatics;B1;27;
ISIC;IEEE International Symposium on Intelligent Control;B3;15;
ISICA;International Symposium on Intelligence Computation and Applications;B4;9;
ISIE;IEEE International Symposium on Industrial Electronics;B1;32;
ISIMP;International Symposium on Intelligent Multimedia Video and Speech Processing;B2;16;
ISIPTA;International Symposium on Imprecise Probabilities: Theories and Applications;B2;21;
ISIT;IEEE International Symposium on Information Theory;B1;31;
ISITA;IEEE International Symposium on Information Theory and Its Applications;B3;14;
ISLPED;International Symposium on Low Power Electronics and Design;A1;66;
ISM;IEEE International Symposium on Multimedia;B2;19;
ISMAR;International Symposium on Mixed and Augmented Reality;A2;48;
ISMB;Intelligent Systems in Molecular Biology;A1;91;
ISMIR;International Conference on Music Information Retrieval;A1;61;
ISMIS;International Syposium on Methodologies for Intelligent Systems;B2;21;
ISMM;International Symposium on Mathematical Morphology;B1;25;
ISMM_A;International Symposium on Memory Management;B1;25;
ISMP;International Symposium on Mathematical Programming;B4;4;
ISMVL;IEEE International Symposium on Multiple'Valued Logic;B2;21;
ISoLA;International Symposium on Leveraging Applications of Formal Methods, Verification and Validation;B4;7;
ISORC;IEEE International Symposium on Object'Oriented Real'Time Distributed Computing;B1;33;
ISPA;International Symposium on Parallel and Distributed Processing and Applications;B3;13;
ISPASS;IEEE International Symposium on Performance Analysis of Systems and Software;B1;32;
ISPD;ACM International Symposium on Physical Design;A2;42;
ISPDC;International Symposium on Parallel and Distributed Computing;B2;17;
ISQED;IEEE International Symposium on Quality Electronic Design;B1;34;
ISRA;International Symposium on Robotics and Automation;B1;24;
ISRE;IEEE International Symposium on Requirements Engineering;B2;19;
ISRR;International Symposium of Robotics Research;B4;3;
ISSADS;IEEE International Symposium and School on Advance Distributed Systems;B4;7;
ISSCC;IEEE International Solid'State Circuits Conference;B1;28;
ISSCS;International Symposium on Signals Circuits and Systems;B3;12;
ISSDQ;International Symposium on Spatial Data Quality;B4;6;
ISSPA;IEEE International Symposium on Signal Processing and its Applications;B3;8;
ISSRE;IEEE International Symposium on Software Reliability Engineering;A2;41;
ISSTA;International Symposium on Software Testing and Analysis;A2;52;
IST;IEEE International Workshop on Imaging Systems and Techniques;B4;6;
ISTA;International Conference on Information Systems Technology and its Application;B3;11;
ISVLSI;IEEE Computer Society Annual Symposium on VLSI;B1;29;
ISWC;International Semantic Web Conference;A1;89;
ISWC_A;IEEE International Symposium on Wearable Computing;A2;47;
ISWPC;Wireless Pervasive Computing;B1;22;
ISWSA;International Conference on Intelligent Semantic Web'Services and Applications;B5;2;
ITAT;Conference on Theory and Practice of Information Technologies;B4;5;
ITBAM;International Conference on Information Technology in Bio' and Medical Informatics;B5;3;
ITC;International Test Conference;A1;62;
ITEM;Conference on Information Technology in Educational Management;B4;4;
ITHE;International Conference on Information Technology Based Higher;B4;5;
ITHET;International Conference on Information Technology Based Higher Education and Training;B3;13;
ITiCSE;Annual Conference on Integrating Technology into Computer Science Education;B1;35;
ITNG;International Conference on Information Technology New Generations;B1;22;
ITP;Interactive Theorem Proving continues TPHOL);B4;10;
ITRE;International Conference on Information Technology: Research and Education;B2;16;
ITS;International Conference on Interactive Tabletops and Surfaces;B2;17;
ITSC;Conference on Intelligent Transportation Systems;B1;25;
ITS_A;International Telecommunications Symposium;B4;10;
IUI;International Conference on Intelligent User Interfaces;A1;62;
IUKM;Integrated Uncertainty in Knowledge Modelling and Decision Making;B5;1;
IV;International Conference on Information Visualization;B1;32;
IVA;International Conference on Intelligent Virtual Agents;B1;30;
IVCNZ;Image and Vision Computing Conference;B4;10;
IV_A;Intelligent Vehicles Conference;B4;4;
IWANN;International Work'Conference on Artificial and Natural Neural Networks;B2;20;
IWCC;IEEE International Workshop on Cluster Computing;B4;8;
IWCIA;International Workshop on Combinatorial Image Analysis;B4;10;
IWCMC;ACM International Wireless Communications and Mobile Computing Conference;B1;25;
IWCS;International Workshop on Computational Semantics;B3;7;
IWFHR;International Workshop on Frontiers in Handwriting Recognition;B1;22;
IWLS;International Workshop on Logic and Synthesis;B2;19;
IWOS;International Workshop on Self'Organizing Systems;B4;10;
IWPSE;International Workshop on Principles of Software Evolution;B1;23;
IWPT;International Conference on Parsing Technologies;B3;13;
IWQoS;International Workshop on Quality of Service;A2;44;
IWSCA;IEEE International Workshop on Semantic Computing and Applications;B4;5;
IWSM'MENSURA;International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement;B4;7;
IWSSIP;International Workshop on Systems Signals and Image Processing;B4;8;
JADT;International conference on statistical analysis of textual data;B4;6;
JCDL;ACM IEEE Joint Conference on Digital Libraries;A2;53;
JCIS;Joint Conference on Information Sciences;B2;18;
JDP;Jornada de Descrição do Português;B5;1;
JELIA;European Conference on Logics in Artificial Intelligence;B1;30;
JIISIC;Jornadas Iberoamericanas de Ingeniería de Software e Ingeniería del Conocimiento;B4;4;
JMLC;Joint Modular Languages Conference;B3;13;
JSSPP;Workshop on Job Scheduling Strategies for Parallel Processing;B1;32;
JTRES;International Workshop on Java Technologies for Real'time and Embedded Systems;B3;12;
JURIX;International Conference on Legal Knowledge and Information Systems;B3;12;
K'CAP;Knowledge Capture;B1;34;
KAMC;Knowledge Acquisition from Multimedia Content;B5;3;
KDD;ACM SIGKDD Conference on Knowledge Discovery and Data Mining;A1;133;
KES;International Conference on Knowledge'Based and Intelligent Information and Engineering Systems;B1;27;
KES'AMSTA;International Conference on Agent and Multi'Agent Systems: Technologies and Applications;B3;13;
KR;International Conference on Principles of Knowledge Representation and Reasoning;A2;46;
KSEM;International Conference on Knowledge Science, Engineering and Management;B3;11;
LA'WASP;Latin American Workshop on Aspect'Oriented Software Development;B4;4;
LA'WEB;Latin American Web Congress;B2;19;
LACLO;Latin American Conference on Learning Objects;B5;3;
LADC;Latin'American Symposium on Dependable Computing;B3;12;
LAGOS;Latin'American Algorithms Graphs and Optimization Symposium;B4;4;
LANC;Latin America Networking Conference;B4;6;
LANMAN;IEEE Workshop on Local and Metropolitan Area Networks;B2;17;
LANOMS;Latin American Network Operations and Management Symposium;B4;7;
LARS;IEEE Latin American Robotics Symposium;B4;8;
LASCAS;IEEE Latin American Symposium on Circuits and Systems ' LASCAS;B5;2;
LATA;Language and Automata Theory and Applications;B3;12;
LaTeCH;Workshop on Language Technology for Cultural Heritage, Social Sciences, and Humanities;B5;1;
LATIN;Latin American Symposium on Theoretical Informatics;B1;26;
LATINCOM;IEEE Latin'american Conference on Communications;B4;5;
Latincrypt;International Conference on Cryptology and Information Security in Latin;B4;5;
LATINTCS;Latin American Theoretical Informatics Symposium;B1;25;
LATW;IEEE Latin American Test Workshop;B4;8;
LAW;The Linguistic Annotation Workshop;B3;13;
LCN;IEEE Conference on Local Computer Networks;A2;48;
LCPC;International Workshop on Languages and Compilers for Parallel Computing;B4;9;
LCTES;ACM SIGPLAN/SIGBED Conference on Languages, Compilers, Tools and Theory for Embedded Systems;B1;34;
LDTA;Language Descriptions Tools and Applications;B4;7;
LFCS;Symposium on Logical Foundations of Computer Science;B3;12;
LICS;IEEE Symposium on Logic in Computer Science;A2;52;
LIGHTSEC;Workshop on Lightweight Security and Privacy: Devices, Protocols, and Applications;B5;3;
LINZ;Linz Seminar on Fuzzy Set Theory;B4;6;
LION;Learning and Intelligent Optimization;B4;9;
LoCA;International Symposium on Location' and Context'Awareness;B2;21;
LocWeb;International Workshop on Location and the Web;B4;8;
LOPSTR;International Symposium on Logic'based Program Synthesis and Transformation;B3;2;
LPAR;Logic Programming and Automated Reasoning;B1;32;
LPNMR;International Conference on Logic Programming and Non'monotonic Reasoning;B1;30;
LREC;International Conference on Language Resources and Evaluation;A2;49;
LSFA;Workshop on Logical and Semantic Frameworks, with Applications;B4;5;
m'ICTE;International Conference on Multimedia and ICT in Education;B5;2;
M4M;Methods for Modalities;B4;5;
MABS;International Workshop on Multi'Agent'Based Simulation;B3;11;
MASCOTS;IEEE International Symposium on Modeling Analysis and Simulation of Computer and Telecommunication Systems;A2;42;
MASS;IEEE International Conference on Mobile Ad'hoc and Sensor Systems;B1;35;
MATA;International Workshop on Mobility Aware Technologies and Applications;B2;17;
MATES;German Conference on Multiagent System Technologies;B2;17;
Matheuristics;International Workshop on Model'based metaheuristics;B4;5;
MCCSIS;IADIS International Conference Web Based Communities and Social Media;B5;2;
MCM;International Conference on Mathematics and Computation in Music;B4;4;
MCO;International Conference on Modelling, Computation and Optimization in Information Systems and Management Sciences;B4;7;
MCS;International Workshop on Multiple Classifier Systems;B1;34;
MDA/MDM;International Conference on Mobile Data Access/Management;A2;39;
MDAI;Modeling Decisions for Artificial Intelligence;B3;15;
MDM;IEEE International Conference on Mobile Data Management;A2;38;
Med'Hoc'Net;IEEE IFIP Annual Mediterranean Ad Hoc Networking Workshop;B4;7;
MEDINFO;International Health Medical) Informatics Congress;B1;27;
MESH;International Conference on Advances in Mesh Networks;B4;5;
META;International Conference on Metaheuristics and Nature Inspired Computing;B5;2;
METMBS;International Conference on Mathematics and Engineering Techniques in Medicine and Biological Sciences;B4;8;
MEWS;International Workshop on Mining for Enhanced Web Search;B5;1;
MFCS;International Symposium on Mathematical Foundations of Computer Science;B1;33;
MFI;IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems;B2;16;
MFPS;Mathematical Foundations of Programming Semantics;B4;2;
MGC;International Workshop on Middleware for Grid Computing;B3;13;
MIC;Metaheuristic International Conference;B3;13;
MICAI;Mexican International Conference on Artificial Intelligence;B2;19;
MICCAI;International Conference on Medical Image Computing and Computer Assisted Intervention;A1;56;
MICRO;International Symposium on Microarchitecture;A1;86;
Middleware;ACM/IFIP/USENIX International Middleware Conference;A2;49;
MINES;International Conference on Multimedia Information Networking and Security;B4;4;
MIS;Workshop on Multimedia Information Systems;B4;10;
MISTA;Multidisciplinary International Scheduling Conference: Theory and Applications;B5;3;
MKM;Mathematical Knowledge Management;B2;20;
ML;IADIS International Conference on Mobile Learning;B3;12;
MLDM;IAPR International Conference on Machine Learning and Data Mining;B2;19;
MLMTA;International Conference on Machine Learning and Applications;B4;9;
MLSP;IEEE International Workshop on Machine Learning for Signal Processing;B2;16;
MMAR;IEEE IFAC International Conference on Methods and Models in Automation and Robotics;B4;4;
MMBIA;IEEE Computer Society Workshops on Mathematical Methods in Biomedical Image Analysis;B2;21;
MMCN;ACM/SPIE Multimedia Computing and Networking;B3;9;
MMEDIA;International Conference on Advances in Multimedia;B4;6;
MMM;International Multi'Media Modelling Conference;B1;22;
MMNS;IFIP/IEEE Conference on Management of Multimedia Networks and Services;B3;15;
MMSP;International Workshop on Multimedia Signal Processing;B2;12;
MMSys;ACM SIGMM Conference on Multimedia Systems;B3;11;
MMVR;Annual Medicine Meets Virtual Reality Conference;B4;4;
MobiCASE;Mobile Computing, Applications, and Services;B4;5;
MOBICOM;ACM International Conference on Mobile Computing and Networking;A1;112;
MobiDE;Workshop on Data Engineering for Wireless and Mobile Access;B2;20;
MOBIHOC;ACM Symposium of Mobile and Ad'hoc Computing;A1;110;
MobileHCI;International Conference on Human'Computer Interaction with Mobile Devices and Services;A2;42;
MOBILITY;Mobility Conference;B3;13;
MOBIMEDIA;International Conference on Mobile Multimedia Communications;B4;9;
Mobiquitous;International Conference on Mobile and Ubiquitous Systems: Networks and Services;B1;32;
MobiSys;International Conference on Mobile Systems, Applications, and Services;A1;66;
MobiWac;ACM International Workshop on Mobility Management and Wireless Access;B3;15;
MODELS;ACM/IEEE International Conference on Model'Driven Engineering Languages and Systems;A2;54;
MoDISE'EUS;Model Driven Information Systems Engineering: Enterprise, User and System Models;B5;3;
MODSIM;International Congress on Modelling and Simulation;B3;12;
MOMPES;IEEE International Workshop on Model Based Methodologies for Pervasive and Embedded Software;B4;9;
MoodleMoot;MoodleMoot Brasil;B5;2;
MOPTA;Annual Conference on Modeling and Optimization: Theory and Applications;B5;1;
MPAC;International Workshop on Middleware for Pervasive and Ad'hoc Computing;B3;14;
MPC;International Conference on Mathematics of Program Construction;B1;22;
MPOOL;Workshop on Multiparadigm Programming with Object Oriented Languages;B5;3;
MS;Multimedia Semantics;B4;8;
MSA;International Conference on Multimedia Systems and Applications;B5;1;
MSC;IEEE Multi'conference on Systems and Control;B5;3;
MSE;International Conference on Microelectronic Systems Education;B4;10;
MSN;International Conference on Mobile Ad'hoc and Sensor Networks;B3;14;
MSR;International Workshop on Mining Software Repositories;B1;32;
MSV;International Conference on Modeling: Simulation and Visualization Methods;B4;6;
MSVVEIS;International Workshop on Modelling, Simulation, Verification and Validation of Enterprise Information Systems;B4;7;
MSWIM;ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems;B1;35;
MTAGS;Workshop on Many'Task Computing on Grids and Supercomputers;B4;7;
MTSR;International Conference on Metadata and Semantics Research;B4;5;
MTSummit;Machine Translation Summit;B2;18;
MTV;Microprocessor Test and Verification;B3;11;
Multimedia;ACM Multimedia Conference;A1;83;
MULTIPROG;Workshop on Programmability Issues for Multi'Core Computers;B5;2;
MUM;International Conference on Mobile and Ubiquitous Multimedia;B2;21;
MVA;IAPR International Workshop on Machine Vision Applications;B3;15;
MWC;IEEE CAS Symposium on Emerging Technologies: Frontiers of Mobile and Wireless Communication;B3;13;
MWE;Workshop on Multiword Expressions;B3;14;
MWSCAS;IEEE International Midwest Symposium on Circuits and Systems;B1;26;
NAACL;North American Chapter of the Association for Computational Linguistics Annual Meeting;A1;73;
NAFIPS;North American Fuzzy Information Processing Society International Conference;B2;15;
NANO;IEEE Conference on Nanotechnology;B4;7;
Nanoarch;IEEE/ACM International Symposium on Nanoscale Architectures;B4;8;
NAS;Networking, Architecture, and Storage;B4;10;
NCA;IEEE International Symposium on Network Computing and Applications;B1;31;
NCIS;International Conference on Network Computing and Information Security;B5;2;
NDSS;Usenix Networked and Distributed System Security Symposium;A1;64;
Net'Con;IFIP International Conference on Network Control and Engineering for QoS: Security and Mobility;B4;6;
NETCOM;International Conference on Networks & Communications;B4;4;
NetGames;Workshop on Network and System Support for Games;B1;34;
Networking;IFIP International Conference on Networking;B1;31;
NEW2AN;Next Generation Teletraffic and Wired/Wireless Advanced Networking;B3;13;
NEWCAS;IEEE North'East Workshop on Circuits and Systems;B4;8;
NFM;NASA Formal Methods;B4;7;
NGITS;International Conference on Next Generation Information Technologies and Systems;B4;7;
NIDISC;Workshop on Nature Inspired Distributed Computing;B5;1;
NIME;New Interfaces for Music Expression;B1;32;
NIPS;Neural Information Processing Systems;A1;88;
NLDB;International Conference on Applications of Natural Language to Data Bases;B1;22;
NLP'KE;International Conference on Natural Language Processing and Knowledge Engineering;B4;5;
NLPCS;International Workshop on Natural Language Processing and Cognitive Science;B4;4;
NMR;International Workshop on Non'Monotonic Reasoning;B2;20;
NOCARC;International Workshop on Network on Chip Architectures;B4;5;
NOCS;International Symposium on Networks'on'Chip;B1;28;
NOMS;IEEE/IFIP Network Operations and Management Symposium;A2;37;
NORCHIP;The Nordic Microelectronics event;B3;15;
NordiCHI;Nordic Conference on Human'computer interaction;B1;35;
NOSSDAV;Network and Operating System Support for Digital A/V;A2;41;
NPAR;Non'Photorealistic Animation and Rendering;A2;39;
NPC;IFIP International Conference on Network and Parallel Computing;B3;12;
NSDI;Symposium on Networked Systems: Design and Implementation;A1;69;
NTMS;New Technologies, Mobility and Security;B4;10;
NWeSP;International Conference on Next Generation Web Services Practices;B3;14;
NyirCrypt;Central European Conference on Cryptography;B5;2;
OASICS;OpenAcess Series in Informatics;B5;3;
OASIS;Foundations of Intrusion Tolerant Systems;B5;1;
OBI;Ontology'supported Business Intelligence;B4;6;
ODBASE;International Conference on Ontologies Databases and Applications of Semantics;B3;5;
ODBIS;Ontologies'Based Databases and Information Systems;B4;4;
ODP;IFIP International Conference on Open Distributed Processing;B3;1;
OKCon;Open Knowledge Conference;B5;2;
OL;Ontology Learning;B4;4;
OM;Ontology Matching;B1;24;
ONISW;Ontologies and Information Systems for the Semantic Web;B4;5;
ONTOSE;Ontology, Conceptualization and Epistemology for Information Systems, Software Engineering and Service Science;B5;3;
OOIS;International Conference on Object'Oriented Information Systems;B2;16;
OOPSLA;ACM SIGPLAN International Conference on Object'Oriented Programming, Systems, Languages, and Applications;A1;76;
OPODIS;International Conference on Principles of Distributed Systems;B2;19;
OPTIM;Optimization of Electrical and Electronic Equipment;B4;9;
OptMAS;Workshop on Optimisation in Multi'Agent Systems;B5;1;
OR;International Conference on Operations Research;B4;5;
OSDI;Usenix Symposium on Operating Systems Design and Implementation;A1;76;
OSS;International Conference on Open Source Systems;B2;16;
OWLED;OWLED Workshop on OWL: Experiences and Directions;B1;26;
OZCHI;Australasian Computer'Human Interaction Conference;B1;22;
P2P;International Conference on Peer'to'Peer Computing;A2;46;
PAAMS;International Conference on Practical Applications of Agents and Multiagent Systems;B4;9;
PAAP;International Symposium on Parallel Architectures, Algorithms and Programming;B5;3;
PACCS;Pacific'Asia Conference on Circuits, Communications and Systems;B4;5;
PACIFICVIS;IEEE Pacific Visualization Symposium;B3;11;
PACT;International Conference on Parallel Architectures and Compilation Techniques;A2;53;
PADL;International Symposium on Practical Aspects of Declarative Languages;B1;30;
PADO;Symposium on Programs as Data Objects;B4;10;
PADS;ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation;B1;27;
PADTAD;Workshop on Parallel and Distributed Systems: Testing, Analysis, and Debugging;B3;14;
PAKM;International Conference on Practical Aspects of Knowledge Management;B2;19;
PAM;Passive and Active Measurement Conference;A2;40;
ParCo;International Conference on Parallel Computing;B3;14;
PATAT;International Conference on the Practice and Theory of Automated Timetabling;B3;12;
PATMOS;International Workshop on Power and Timing Modeling: Optimization and Simulation;B2;17;
PBG;IEEE/Eurographics Symposium on Point'Based Graphics;B2;18;
PCNS;SPIE Conference on Performance and Control of Network Systems;B5;2;
PCS;International Picture Coding Symposium;B1;25;
PDC;Participatory Design Conference;B1;22;
PDCAT;International Conference on Parallel and Distributed Computing Applications and Technologies;B2;18;
PDCS;International Conference on Parallel and Distributed Computing and Systems;B3;5;
PDMC'HIBI;International Workshop on Parallel and Distributed Methods in Verification, International Workshop on High Performance Computational Systems;B4;6;
PDP;Euromicro International Conference on Parallel Distributed and network'based Processing;B1;27;
PDPTA;International Conference on Parallel and Distributed Processing Techniques and Applications;B2;21;
PE'WASUN;ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks;B2;21;
PEPM;Symposium on Partial Evaluation and Program Manipulation;B1;25;
PERCOL;Workshop on Pervasive Collaboration and Social Networking;B1;30;
PerCom;Annual IEEE International Conference on Pervasive Computing and Communications;A2;54;
PEREL;Workshop on Pervasive Learning, Life, and Leisure;B1;23;
PERFOMANCE;IFIP International Symposium on Computer Performance Modeling Measurements and Evaluation;B4;10;
PERVASIVE;International Conference on Pervasive Computing;A2;48;
PETRA;International Conference on Pervasive Technologies Related to Assistive Environments;B3;12;
PG;Pacific Conference on Computer Graphics and Applications;A2;40;
PhiSE;Philosophical Foundations on Information Systems Engineering;B5;3;
PIMRC;IEEE International Symposium on Personal and Indoor Mobile Radio Conference;A1;60;
PKAW;Pacific Rim Knowledge Acquisition Workshop;B4;6;
PKC;International Conference on Theory and Practice of Public'Key Cryptography;A2;54;
PKDD;European Conference on Principles and Practice of Knowledge Discovery in Databases;A2;52;
PLC;International Conference on Programming Languages and Compilers;B4;7;
PLDI;ACM SIGPLAN conference on Programming Language Design and Implementation;A1;98;
PLoP;Pattern Languages of Programs Conference;B3;10;
PODC;ACM Symposium on Principles of Distributed Computing;A1;61;
PODS;ACM SIGACT'SIGMOD'SIGART Symposium on Principles of Database Systems;A1;69;
PoEM;The IFIP WG8.1 Working Conference on the Practice of Enterprise Modelling;B4;7;
POLICY;IEEE International Workshop on Policies for Distributed Systems and Networks;A2;39;
POPL;ACM SIGPLAN'SIGACT Symposium on Principles of Programming Languages;A1;89;
PPDP;International ACM SIGPLAN Symposium on Principles and Practice of Declarative Programming;B1;32;
PPoPP;Principles and Practice of Parallel Programming;A2;53;
PPSC;SIAM Conference on Parallel Processing for Scientific Computing;B4;6;
PPSN;Parallel Problem Solving From Nature;A2;46;
PPSWR;Principles and Practice of Semantic Web Reasoning;B2;18;
PQCrypto;International Workshop on Post'Quantum Cryptography;B3;11;
PRDC;IEEE Pacific Rim International Symposium on Dependable Computing;B1;23;
PRIS;International Workshop on Pattern Recognition in Information Systems;B3;13;
PRO'VE;IFIP Working Conference on Virtual Enterprises;B3;13;
PROFES;International Conference on Product Focused Software Process Improvement;B1;22;
ProMAS;International Workshop on Programming Multi'Agent Systems;B3;11;
PROPOR;International Conference on Computational Processing of Portuguese;B3;15;
PSB;Pacific Symposium on Biocomputing;A1;57;
PSC;International Conference on Pervasive Systems and Computing;B4;8;
PSIVT;Pacific'Rim Symposium on Image and Video Technology;B3;13;
PST;Conference on Privacy, Security and Trust;B2;18;
PWC;IFIP International Conference on Personal Wireless Communications;B1;24;
QEST;International Conference on Quantitative Evaluation of Systems;B1;27;
QoSA;International ACM Sigsoft Conference on the Quality of Software Architectures;B5;2;
QSHINE;International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks;B2;17;
QSIC;International Quality Software Conference;B1;24;
Qsine;International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks;B2;17;
QUATIC;International Conference on the Quality of Information and Communications Technology;B4;7;
RADECS;Conference on RADIATION EFFECTS on COMPONENTS and SYSTEMS;B3;12;
RAID;International Symposium on Recent Advances in Intrusion Detection;A2;53;
RANDOM;International Workshop on Randomization and Computation;B1;24;
RANLP;Recent Advances in Natural Language Processing;B2;17;
RAW;Reconfigurable Architectures Workshop;B3;5;
RCIS;International Conference on Research Challenges in Information Science;B4;10;
RE;IEEE International Requirements Engineering Conference;A1;55;
RECOMB;Annual International Conference on Research in Computational Molecular Biology;A2;54;
RECONFIG;International Conference on Reconfigurable Computing and FPGAs;B4;9;
ReCoSoC;International Workshop on Reconfigurable Communication'centric Systems'on'Chip;B4;9;
RecSys;ACM Recommender Systems Conference;B1;29;
REET;Requirements Engineering Education and Training;B5;3;
REFSQ;Working Conference on Requirements Engineering: Foundation for Software Quality;B3;15;
RFID'TA;RFID'Technologies and Applications;B4;5;
RIDE;International Workshop on Research Issues in Data Engineering;B1;24;
RO'MAN;IEEE International Symposium on Robot and Human Interactive Communication;B1;22;
ROBIO;IEEE International Conference on Robotics and Biomimetics;B1;22;
ROBOCOMM;IEEE International Conference on Robot Communication and Coordination;B4;10;
RR;International Conference on Web Reasoning and Rule Systems;B3;15;
RRS;Rational, Robust and Secure Negotiation Mechanisms in Multi'Agent Systems;B4;4;
RSA;RSA Conference;B1;11;
RSP;International Workshop on Rapid System Prototyping;B2;20;
RSS;Robotics: Science and Systems Conference;A2;39;
RST;Reliable Software Technologies;B2;18;
RST_A;Workshop A RST e os Estudos do Texto;B5;2;
RTA;International Conference on Rewriting Techniques and Applications;B1;33;
RTAS;IEEE Real'Time and Embedded Technology and Applications Symposium;A2;42;
RTCOMP;International Conference on Real'Time Computing Systems and Applications;B1;26;
RTCSA;International Conference on Real'Time and Embedded Computing Systems and Applications;B1;26;
RTSS;Real Time Systems Symposium;A1;57;
RuleApps;East European Workshop on Rule'Based Applications;B5;3;
RULEML;International Conference on Rules and Rule Markup Languages for the Semantic Web;B1;22;
S&P;IEEE Symposium on Security and Privacy S&P);A1;110;
SAB;International Conference on Simulation of Adaptive Behavior;B2;16;
SAC;ACM Symposium on Applied Computing;A1;61;
SACI;International Symposium on Applied Computational Intelligence and Informatics;B4;6;
SACMAT;ACM Symposium on Access Control Models and Technologies;A1;55;
SAC_A;Selected Areas in Cryptography;B2;21;
SAFECOMP;International Conference on Computer Safety: Reliability and Security;B1;22;
SAFEProcess;IFAC Symposioum on Fault Detection Supervision and Safety of Technical Processes;B3;14;
SAICSIT;Conference of the South African Institute of Computer Scientists and Information Technologists;B3;12;
SAINT;International Symposium on Applications and the Internet;B1;32;
SAM;International Conference on Security and Management;B3;12;
SAME;Semantic Ambient Media Experiences;B5;3;
SAMOS;International Conference on Embedded Computer Systems: Architectures, Modeling, and Simulation;B2;16;
SAMT;Semantics and Digital Media Technologies;B3;11;
Sandbox;ACM SIGGRAPH Sandbox Symposium on Videogames;B3;15;
SAPIR;International Workshop on Service Assurance with Partial and Intermittent Resources;B4;4;
SARNOFF;IEEE Sarnoff Symposium;B3;15;
SAS;International Static Analysis Symposium;A2;48;
SASO;IEEE International Conference on Self'Adaptive and Self'Organizing Systems;B3;15;
SASP;Symposium on Application Specific Processors;B4;8;
SAST;Brazilian Workshop on Systematic and Automated Software Testing;B5;3;
SAT;International Conference on Theory and Applications of Satisfiability Testing;B1;32;
SAVCBS;Workshop on Specification and Verification of Component'Based Systems;B4;7;
SBAC'PAD;International Symposium on Computer Architecture and High Performance;B2;18;
SBAI;Simpósio Brasileiro de Automação Inteligente;B4;7;
SBCARS;Simpósio Brasileiro de Componentes, Arquiteturas e Reutilização de Software;B4;6;
SBCCI;Symposium on Integrated Circuits and Systems Design;B1;24;
SBCM;Simpósio Brasileiro de Computação Musical;B4;5;
SBCUP;Simpósio Brasileiro de Computação Ubíqua e Pervasiva;B5;2;
